Provincia,Comune,Stazionediriferimento,CodiceStazione,Tipologiastazione,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belluno,Belluno,BL_ParcoCittàdiBologna,IT1594A,FU,22,19,17,16,16,14,15,13,15,14,13,13,13,14
Belluno,Feltre,AreaFeltrina,IT1619A,FU/FS,27,24,25,23,22,18,21,20,21,18,18,19,16,16
Padova,Padova,PD_Mandria,IT1453A,FU,32,31,34,32,28,24,31,30,34,27,24,25,21,23
Padova,Padova,PD_aps1,99902,IU,32,33,37,29,27,23,28,25,29,26,26,28,24,25
Padova,Padova,PD_aps2,99903,IU,29,26,29,28,26,22,28,24,26,24,24,25,22,24
Padova,Este,Este,IT1871A,IS,,,,,,18,23,20,22,19,19,20,15,17
Padova,Monselice,Monselice,99910,IU/FU,24,21,26,,,,,,22,19,19,21,17,17
Rovigo,PortoTolle,PortoTolle,IT1212A,FS,,21,22,19,,,,,,,,,,
Rovigo,Rovigo,RO_LargoMartiri,IT1215A,TU,,,31,29,25,21,28,24,28,25,24,23,20,23
Rovigo,PortoViro,GNLPortoLevante,99907,IS,,,24,18,15,13,18,16,18,,,,,
Treviso,Treviso,TV_ViaLancieri,IT1590A,FU,30,28,31,27,23,18,27,24,25,21,20,23,20,20
Treviso,Conegliano,Conegliano,IT1328A,FU,,,27,23,23,19,23,21,22,21,19,19,15,19
Treviso,Mansuè,Mansuè,IT1596A,FR,,,29,28,25,21,25,23,23,20,21,21,16,19
Treviso,Pederobba,Pederobba,99913,IU,,,,,,,,15,16,15,14,13,13,14
Venezia,Venezia,VE_ViaCirconvallazione,IT0444A,TU,,,,,,,,,,,,,,
Venezia,Venezia,VE_ParcoBissuola,IT0963A,FU,,,30,28,24,21,28,25,27,24,22,25,21,23
Venezia,Venezia,VE_ViaMalcontenta,IT1936A,IS/IS,32,30,35,32,27,23,31,27,29,26,25,28,24,22
Venezia,Venezia,VE_ViaTagliamento,IT1862A,TU,,30,37,,,,,,,,,,,
Venezia,Venezia,VE_RioNovo,IT2319A,TU,,,,,,,,,,,21,22,18,22
Venezia,Portogruaro,Portogruaro,99912,TUIS,,,,,17,21,23,16,23,22,24,20,18,20
Venezia,SanDonàdiPiave,SanDonàdiPiave,IT1222A,FU,,22,32,30,26,22,23,21,24,18,18,25,21,22
Venezia,Venezia,PuntaFusina,99914,IS,,,,,,,,,,,,,20,19
Verona,Verona,VR_Cason,IT1343A,FR/FS,27,24,28,24,21,21,26,,,,,,,
Verona,Verona,VR_GiarolGrande,IT2243A,FU,,,,,,,,22,23,21,19,22,20,18
Vicenza,Vicenza,VI_QuartiereItalia,IT1177A,FU,28,29,31,28,27,22,29,24,28,24,26,25,22,23
Vicenza,Vicenza,VI_Ferrovieri,IT1905A,FU,,,,,,,,,27,23,21,23,20,23
Vicenza,Vicenza,Schio,IT0663A,FU,,,,,,,,,21,19,18,18,18,18
Vicenza,Bassano,Bassano,IT1065A,FU,,22,23,21,19,17,20,18,20,17,16,16,14,15
