LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Verona;1/5/2018;"15";"9";"20";"6";"59";"20";"7";"17";"0";"1012";"0";"0";"pioggia "
Verona;2/5/2018;"14";"11";"19";"11";"82";"16";"9";"18";"0";"1009";"0";"0";"pioggia "
Verona;3/5/2018;"17";"12";"22";"14";"81";"14";"9";"21";"0";"1005";"0";"0";"pioggia temporale "
Verona;4/5/2018;"18";"14";"24";"14";"79";"16";"11";"24";"0";"1010";"0";"0";"pioggia temporale "
Verona;5/5/2018;"19";"13";"25";"14";"74";"22";"8";"24";"0";"1015";"0";"0";""
Verona;6/5/2018;"21";"15";"27";"15";"69";"19";"6";"13";"0";"1016";"0";"0";"pioggia temporale "
Verona;7/5/2018;"20";"16";"25";"14";"68";"19";"7";"15";"0";"1015";"0";"0";""
Verona;8/5/2018;"20";"14";"26";"13";"68";"19";"8";"24";"0";"1009";"0";"0";"pioggia temporale "
Verona;9/5/2018;"18";"13";"24";"12";"71";"19";"8";"18";"0";"1007";"0";"0";"pioggia temporale "
Verona;10/5/2018;"18";"14";"23";"14";"77";"20";"8";"17";"0";"1010";"0";"0";"pioggia "
Verona;11/5/2018;"18";"13";"26";"14";"79";"16";"8";"18";"0";"1015";"0";"0";"pioggia temporale "
Verona;12/5/2018;"21";"15";"26";"14";"69";"21";"5";"9";"0";"1014";"0";"0";""
Verona;13/5/2018;"19";"15";"24";"15";"77";"19";"8";"21";"0";"1009";"0";"0";"pioggia temporale "
Verona;14/5/2018;"15";"11";"19";"10";"75";"17";"12";"24";"0";"1010";"0";"0";"pioggia "
Verona;15/5/2018;"13";"10";"13";"9";"81";"19";"12";"26";"0";"1010";"0";"0";"pioggia "
Verona;16/5/2018;"15";"8";"21";"10";"76";"21";"6";"11";"0";"1013";"0";"0";""
Verona;17/5/2018;"16";"13";"22";"12";"79";"16";"8";"17";"0";"1015";"0";"0";"pioggia temporale "
Verona;18/5/2018;"18";"11";"24";"12";"71";"18";"6";"13";"0";"1016";"0";"0";"pioggia temporale "
Verona;19/5/2018;"20";"13";"25";"11";"61";"20";"7";"15";"0";"1016";"0";"0";""
Verona;20/5/2018;"20";"13";"25";"11";"59";"20";"11";"22";"0";"1016";"0";"0";""
Verona;21/5/2018;"22";"17";"27";"11";"52";"20";"12";"21";"0";"1014";"0";"0";""
Verona;22/5/2018;"17";"16";"20";"15";"84";"16";"8";"17";"0";"1014";"0";"0";"pioggia "
Verona;23/5/2018;"18";"14";"24";"15";"83";"18";"7";"26";"0";"1016";"0";"0";"pioggia temporale nebbia "
Verona;24/5/2018;"22";"17";"26";"16";"70";"21";"6";"13";"0";"1016";"0";"0";""
Verona;25/5/2018;"23";"15";"28";"16";"68";"20";"6";"15";"0";"1015";"0";"0";""
Verona;26/5/2018;"24";"18";"29";"16";"62";"20";"6";"13";"0";"1019";"0";"0";""
Verona;27/5/2018;"24";"20";"29";"17";"65";"21";"8";"24";"0";"1018";"0";"0";"pioggia temporale "
Verona;28/5/2018;"23";"18";"28";"16";"65";"19";"6";"17";"0";"1018";"0";"0";"pioggia "
Verona;29/5/2018;"23";"19";"28";"18";"73";"17";"8";"15";"0";"1016";"0";"0";"pioggia temporale "
Verona;30/5/2018;"23";"19";"28";"18";"74";"17";"6";"11";"0";"1015";"0";"0";"pioggia "
Verona;31/5/2018;"23";"19";"28";"18";"72";"17";"9";"30";"0";"1015";"0";"0";"pioggia temporale "
