"Circoscrizione";"Nazionalità";"Immigrati"
"CENTRO-STORICO";"AFGANA";8
"CENTRO-STORICO";"ALBANESE";180
"CENTRO-STORICO";"ALGERINA";13
"CENTRO-STORICO";"ANGOLANA";22
"CENTRO-STORICO";"APOLIDE";1
"CENTRO-STORICO";"ARGENTINA";13
"CENTRO-STORICO";"ARMENA";1
"CENTRO-STORICO";"AUSTRALIANA";6
"CENTRO-STORICO";"AUSTRIACA";8
"CENTRO-STORICO";"BANGLADESH";64
"CENTRO-STORICO";"BARBADORENA";
"CENTRO-STORICO";"BELGA";2
"CENTRO-STORICO";"BIELORUSSA";7
"CENTRO-STORICO";"BIRMANA";
"CENTRO-STORICO";"BOLIVIANA";
"CENTRO-STORICO";"BOSNIACA";9
"CENTRO-STORICO";"BRASILIANA";125
"CENTRO-STORICO";"BRITANNICA";59
"CENTRO-STORICO";"BULGARA";19
"CENTRO-STORICO";"BURUNDA";
"CENTRO-STORICO";"CAMBOGIANA";3
"CENTRO-STORICO";"CANADESE";3
"CENTRO-STORICO";"CECA";6
"CENTRO-STORICO";"CILENA";2
"CENTRO-STORICO";"CINESE";173
"CENTRO-STORICO";"CIPRIOTA";
"CENTRO-STORICO";"COLOMBIANA";25
"CENTRO-STORICO";"CONGOLESE";6
"CENTRO-STORICO";"COSTARICANA";2
"CENTRO-STORICO";"CROATA";21
"CENTRO-STORICO";"CUBANA";18
"CENTRO-STORICO";"DANESE";1
"CENTRO-STORICO";"DEL BELIZE";1
"CENTRO-STORICO";"DEL BENIN";
"CENTRO-STORICO";"DEL BURKINA";2
"CENTRO-STORICO";"DEL CAMERUN";8
"CENTRO-STORICO";"DEL CIAD";1
"CENTRO-STORICO";"DEL NIGER";
"CENTRO-STORICO";"DELLA COSTA D'AVORIO";29
"CENTRO-STORICO";"DELLA GEORGIA";12
"CENTRO-STORICO";"DELLA SIERRA LEONE";
"CENTRO-STORICO";"DI SAO TOME' E PRINCIPE";
"CENTRO-STORICO";"DI TAIWAN";1
"CENTRO-STORICO";"DOMINICANA";28
"CENTRO-STORICO";"DOMINICIANA";2
"CENTRO-STORICO";"ECUADOREGNA";8
"CENTRO-STORICO";"EGIZIANA";20
"CENTRO-STORICO";"ERITREA";8
"CENTRO-STORICO";"ESTONE";3
"CENTRO-STORICO";"ETIOPE";9
"CENTRO-STORICO";"FILIPPINA";157
"CENTRO-STORICO";"FINLANDESE";
"CENTRO-STORICO";"FRANCESE";42
"CENTRO-STORICO";"GABONESE";1
"CENTRO-STORICO";"GAMBIANA";
"CENTRO-STORICO";"GHANESE";124
"CENTRO-STORICO";"GIAPPONESE";12
"CENTRO-STORICO";"GIORDANA";2
"CENTRO-STORICO";"GRECA";11
"CENTRO-STORICO";"GUINEANA";4
"CENTRO-STORICO";"GUINEANA BISSAUESE";3
"CENTRO-STORICO";"HAITIANA";
"CENTRO-STORICO";"HONDUREGNA";
"CENTRO-STORICO";"IEMENITA";
"CENTRO-STORICO";"IGNOTA";1
"CENTRO-STORICO";"INDIANA";93
"CENTRO-STORICO";"INDONESIANA";
"CENTRO-STORICO";"IRACHENA";1
"CENTRO-STORICO";"IRANIANA";18
"CENTRO-STORICO";"IRLANDESE";5
"CENTRO-STORICO";"ISLANDESE";2
"CENTRO-STORICO";"ISRAELIANA";2
"CENTRO-STORICO";"KAZACA";
"CENTRO-STORICO";"KENIANA";2
"CENTRO-STORICO";"KOSOVARA";1
"CENTRO-STORICO";"LETTONE";4
"CENTRO-STORICO";"LIBANESE";
"CENTRO-STORICO";"LIBERIANA";
"CENTRO-STORICO";"LITUANA";4
"CENTRO-STORICO";"LUSSEMBURGHESE";1
"CENTRO-STORICO";"MACEDONE";9
"CENTRO-STORICO";"MALGASCIA";8
"CENTRO-STORICO";"MALINA";6
"CENTRO-STORICO";"MALTESE";1
"CENTRO-STORICO";"MAROCCHINA";150
"CENTRO-STORICO";"MAURITANA";
"CENTRO-STORICO";"MAURIZIANA";1
"CENTRO-STORICO";"MESSICANA";2
"CENTRO-STORICO";"MOLDAVA";336
"CENTRO-STORICO";"MONTENEGRINA";
"CENTRO-STORICO";"MOZAMBICANA";1
"CENTRO-STORICO";"NEOZELANDESE";1
"CENTRO-STORICO";"NEPALESE";1
"CENTRO-STORICO";"NICARAGUENSE";
"CENTRO-STORICO";"NIGERIANA";162
"CENTRO-STORICO";"NORVEGESE";1
"CENTRO-STORICO";"OLANDESE";9
"CENTRO-STORICO";"PACHISTANA";63
"CENTRO-STORICO";"PALESTINESE";
"CENTRO-STORICO";"PANAMENSE";1
"CENTRO-STORICO";"PARAGUAIANA";22
"CENTRO-STORICO";"PERUVIANA";15
"CENTRO-STORICO";"POLACCA";28
"CENTRO-STORICO";"PORTOGHESE";12
"CENTRO-STORICO";"RUANDESE";3
"CENTRO-STORICO";"RUMENA";673
"CENTRO-STORICO";"RUSSA";46
"CENTRO-STORICO";"SALVADOREGNA";
"CENTRO-STORICO";"SANMARINESE";
"CENTRO-STORICO";"SEICELLE";1
"CENTRO-STORICO";"SENEGALESE";22
"CENTRO-STORICO";"SERBA";21
"CENTRO-STORICO";"SINGAPORE";
"CENTRO-STORICO";"SIRIANA";
"CENTRO-STORICO";"SLOVACCA";4
"CENTRO-STORICO";"SLOVENA";2
"CENTRO-STORICO";"SOMALA";2
"CENTRO-STORICO";"SPAGNOLA";30
"CENTRO-STORICO";"SRILANKESE";796
"CENTRO-STORICO";"STATUNITENSE";36
"CENTRO-STORICO";"STRANIERA";1
"CENTRO-STORICO";"SUDAFRICANA";
"CENTRO-STORICO";"SUDANESE";2
"CENTRO-STORICO";"SUDCOREANA";5
"CENTRO-STORICO";"SVEDESE";7
"CENTRO-STORICO";"SVIZZERA";3
"CENTRO-STORICO";"TAILANDESE";
"CENTRO-STORICO";"TANZANIANA";9
"CENTRO-STORICO";"TEDESCA";56
"CENTRO-STORICO";"TIMORESE";1
"CENTRO-STORICO";"TOGOLESE";8
"CENTRO-STORICO";"TUNISINA";52
"CENTRO-STORICO";"TURCA";2
"CENTRO-STORICO";"UCRAINA";83
"CENTRO-STORICO";"UGANDESE";1
"CENTRO-STORICO";"UNGHERESE";4
"CENTRO-STORICO";"URUGUAIANA";1
"CENTRO-STORICO";"UZBECA";2
"CENTRO-STORICO";"VENEZUELANA";6
"CENTRO-STORICO";"VIETNAMITA";3
"CENTRO-STORICO";"YUGOSLAVA";16
"CENTRO-STORICO";"ZAMBESE";2
"EST";"AFGANA";6
"EST";"ALBANESE";281
"EST";"ALGERINA";26
"EST";"ANGOLANA";1
"EST";"APOLIDE";
"EST";"ARGENTINA";8
"EST";"ARMENA";
"EST";"AUSTRALIANA";
"EST";"AUSTRIACA";4
"EST";"BANGLADESH";1
"EST";"BARBADORENA";
"EST";"BELGA";1
"EST";"BIELORUSSA";6
"EST";"BIRMANA";2
"EST";"BOLIVIANA";3
"EST";"BOSNIACA";46
"EST";"BRASILIANA";116
"EST";"BRITANNICA";12
"EST";"BULGARA";51
"EST";"BURUNDA";
"EST";"CAMBOGIANA";7
"EST";"CANADESE";1
"EST";"CECA";
"EST";"CILENA";
"EST";"CINESE";180
"EST";"CIPRIOTA";
"EST";"COLOMBIANA";32
"EST";"CONGOLESE";8
"EST";"COSTARICANA";
"EST";"CROATA";16
"EST";"CUBANA";12
"EST";"DANESE";2
"EST";"DEL BELIZE";
"EST";"DEL BENIN";
"EST";"DEL BURKINA";1
"EST";"DEL CAMERUN";3
"EST";"DEL CIAD";
"EST";"DEL NIGER";
"EST";"DELLA COSTA D'AVORIO";16
"EST";"DELLA GEORGIA";4
"EST";"DELLA SIERRA LEONE";3
"EST";"DI SAO TOME' E PRINCIPE";
"EST";"DI TAIWAN";
"EST";"DOMINICANA";101
"EST";"DOMINICIANA";1
"EST";"ECUADOREGNA";4
"EST";"EGIZIANA";1
"EST";"ERITREA";5
"EST";"ESTONE";
"EST";"ETIOPE";1
"EST";"FILIPPINA";86
"EST";"FINLANDESE";
"EST";"FRANCESE";15
"EST";"GABONESE";
"EST";"GAMBIANA";1
"EST";"GHANESE";96
"EST";"GIAPPONESE";6
"EST";"GIORDANA";
"EST";"GRECA";1
"EST";"GUINEANA";4
"EST";"GUINEANA BISSAUESE";
"EST";"HAITIANA";
"EST";"HONDUREGNA";3
"EST";"IEMENITA";
"EST";"IGNOTA";
"EST";"INDIANA";41
"EST";"INDONESIANA";
"EST";"IRACHENA";
"EST";"IRANIANA";10
"EST";"IRLANDESE";
"EST";"ISLANDESE";
"EST";"ISRAELIANA";1
"EST";"KAZACA";
"EST";"KENIANA";
"EST";"KOSOVARA";1
"EST";"LETTONE";4
"EST";"LIBANESE";1
"EST";"LIBERIANA";1
"EST";"LITUANA";3
"EST";"LUSSEMBURGHESE";
"EST";"MACEDONE";10
"EST";"MALGASCIA";
"EST";"MALINA";
"EST";"MALTESE";
"EST";"MAROCCHINA";198
"EST";"MAURITANA";
"EST";"MAURIZIANA";1
"EST";"MESSICANA";4
"EST";"MOLDAVA";559
"EST";"MONTENEGRINA";
"EST";"MOZAMBICANA";3
"EST";"NEOZELANDESE";1
"EST";"NEPALESE";2
"EST";"NICARAGUENSE";
"EST";"NIGERIANA";257
"EST";"NORVEGESE";1
"EST";"OLANDESE";1
"EST";"PACHISTANA";42
"EST";"PALESTINESE";1
"EST";"PANAMENSE";
"EST";"PARAGUAIANA";1
"EST";"PERUVIANA";42
"EST";"POLACCA";31
"EST";"PORTOGHESE";11
"EST";"RUANDESE";
"EST";"RUMENA";1032
"EST";"RUSSA";26
"EST";"SALVADOREGNA";3
"EST";"SANMARINESE";
"EST";"SEICELLE";
"EST";"SENEGALESE";28
"EST";"SERBA";13
"EST";"SINGAPORE";
"EST";"SIRIANA";
"EST";"SLOVACCA";
"EST";"SLOVENA";1
"EST";"SOMALA";4
